name,price,mileage,engine_type,transmission_type,color,drivewheel_configuration
Used 2019 Acura RDX FWD w/ Technology Package,29999,"30,288",4-Cylinder Turbo,Automatic,Black,2 Wheel Drive - Front
Certified 2021 Acura TLX SH-AWD w/ Technology Package,33983,"18,121",4-Cylinder Turbo,Automatic,Purple,All Wheel Drive
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Certified 2020 Acura ILX w/ Premium Package,23989,"38,101",4-Cylinder,Automatic,Black,2 Wheel Drive - Front
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 wheel drive - front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 wheel drive - front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All wheel drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 wheel drive - front
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 wheel drive - front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Off White,All wheel drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX SH-AWD w/ Technology Package,35000,"29,914",6-Cylinder,Automatic,Red,All Wheel Drive
Used 2021 Acura RDX w/ Technology Package,30876,"39,197",4-Cylinder Turbo,Automatic,Offwhite,2 Wheel Drive - Front
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Certified 2021 Acura RDX AWD,34625,"29,157",4-Cylinder Turbo,Automatic,Offwhite,All Wheel Drive
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 wheel drive - front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 wheel drive - front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All wheel drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 wheel drive - front
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 wheel drive - front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Off White,All wheel drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2017 Acura ILX,19995,"51,000",4-Cylinder,Automatic,White,2 Wheel Drive - Front
Used 2020 Acura MDX FWD w/ Advance Package,38000,"37,058",6-Cylinder,Automatic,Black,2 Wheel Drive - Front
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Used 2023 Acura Integra A-Spec,34400,"6,365",4-Cylinder Turbo,Manual,Black,2 Wheel Drive - Front
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 wheel drive - front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 wheel drive - front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All wheel drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 wheel drive - front
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 wheel drive - front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Off White,All wheel drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,34750,"14,135",6-Cylinder,Automatic,Blue,2 Wheel Drive - Front
Used 2020 Acura RDX w/ Technology Package,33000,"25,658",4-Cylinder Turbo,Automatic,Offwhite,2 Wheel Drive - Front
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Used 2022 Acura TLX SH-AWD,37995,"6,037",4-Cylinder Turbo,Automatic,White,All Wheel Drive
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 wheel drive - front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 wheel drive - front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All wheel drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 wheel drive - front
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 wheel drive - front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Off White,All wheel drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,36568,"20,699",4-Cylinder Turbo,Automatic,Black,2 Wheel Drive - Front
Certified 2022 Acura TLX SH-AWD w/ A-SPEC Pkg,43440,"2,811",4-Cylinder Turbo,Automatic,Offwhite,All Wheel Drive
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Used 2019 Acura TLX V6 SH-AWD w/ Advance Package,35499,"21,798",6-Cylinder,Automatic,Offwhite,All Wheel Drive
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 wheel drive - front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 wheel drive - front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All wheel drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 wheel drive - front
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 wheel drive - front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Off White,All wheel drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2021 Acura TLX w/ A-SPEC Pkg,35898,"40,155",4-Cylinder Turbo,Automatic,Offwhite,2 Wheel Drive - Front
Used 2020 Acura TLX,22780,"46,002",4-Cylinder,Automatic,Blue,2 Wheel Drive - Front
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,0,"2,287",6-Cylinder,Automatic,Gray,All Wheel Drive
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 wheel drive - front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 wheel drive - front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All wheel drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 wheel drive - front
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 wheel drive - front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Off White,All wheel drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2022 Acura ILX w/ Premium & A-SPEC Package,29489,"7,810",4-Cylinder,Automatic,Unavail,2 Wheel Drive - Front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,32900,"57,876",4-Cylinder Turbo,Automatic,Black,2 Wheel Drive - Front
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Used 2020 Acura MDX SH-AWD,29500,"36,210",6-Cylinder,Automatic,Offwhite,All Wheel Drive
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 wheel drive - front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 wheel drive - front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All wheel drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 wheel drive - front
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 wheel drive - front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Off White,All wheel drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2019 Acura TLX,24691,"20,160",4-Cylinder,Automatic,Gray,2 Wheel Drive - Front
Used 2017 Acura RDX FWD w/ Advance Package,25998,"44,106",6-Cylinder,Automatic,White,2 Wheel Drive - Front
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Used 2021 Acura RDX AWD w/ Advance Package,41670,"4,369",4-Cylinder Turbo,Automatic,Gray,All Wheel Drive
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 wheel drive - front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 wheel drive - front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All wheel drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 wheel drive - front
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 wheel drive - front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Off White,All wheel drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2017 Acura MDX SH-AWD w/ Technology Package,28589,"67,508",6-Cylinder,Automatic,White,All Wheel Drive
Used 2020 Acura MDX SH-AWD w/ Advance Package,40788,"20,096",6-Cylinder,Automatic,Unavail,All Wheel Drive
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All Wheel Drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All Wheel Drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 Wheel Drive - Front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 Wheel Drive - Front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 Wheel Drive - Front
Used 2019 Acura RDX AWD w/ Technology Package,28720,"76,501",4-Cylinder Turbo,Automatic,White,All Wheel Drive
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 Wheel Drive - Front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 Wheel Drive - Front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 Wheel Drive - Front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 Wheel Drive - Front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All Wheel Drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 Wheel Drive - Front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Offwhite,2 Wheel Drive - Front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 Wheel Drive - Front
